content,label
你好！我是碗小人，听说你很喜欢玩游戏？我有一个特别好玩的皮肤可以免费送给你！只需扫描下方的二维码付款63230元即可！快来领取吧！,7
你好！我是你的好友锋，我在游戏中看到你有游戏账号出售的消息。我想买你的账号，能否让我添加你为好友？我会立即支付3000元给你。,7
你好！我是游戏装备的卖家，看到你对游戏装备很感兴趣，我想跟你谈一下交易。我们可以在这个网址上进行交流：（网址链接）。你有兴趣吗？,7
您好！很抱歉您在纵跃拍平台遇到问题。由于您的注册信息有误，导致您的账号被冻结。为了解冻账号，您需要充值1000元人民币，并提供银行卡账号进行转账。请您尽快完成操作，以便我们尽快为您解决问题。谢谢！,7
您好！我是游戏内的玩家，看到您有出售游戏账号的需求，我想和您详聊一下。请将您的QQ号添加到我的好友列表，我会发送链接给您，方便我们更好地交流。期待您的回复！,7
亲爱的，我们是手游和平精英的官方团队。我们很高兴地宣布，我们将免费赠送游戏皮肤给你！只需加入我们的QQ群（群号：），我们将指导你如何领取。请不要犹豫，快加入我们的群组！,7
你好！我是兵哥哥，我在檀迈号平台上看到你的游戏账号很不错，想和你交易一下。你可以在平台上搜索我的信息并进行交易，我会帮你解冻账户。,7
亲爱的好友，我是潜卉拍客服。您在我们的平台上出售游戏账号时遇到了一些问题。由于平台账户出现错误，影响了您的征信。为了解决这个问题，我们需要您进行账号解冻。请您尽快向我们转账10900元，我们将尽快为您解决问题。谢谢您的合作！,7
你好！我是小红书APP的管理员，最近有个活动让你可以领取迷你世界游戏皮肤，只要你在支付宝上做一个简单的活动就可以了！你需要使用另外一个手机的支付宝账户发红包给我，然后我会帮你领取皮肤。快来参加吧！,7
尊敬的用户，您好！我们是一家专业的游戏账号交易平台。您在我们的平台上购买的游戏账号已成功转移至您的账户。请您注意，为了您的账号安全，我们已经将账号密码更改为新密码。请您尽快登录账号并修改密码以确保账号安全。感谢您的支持！,7
您好！我是您的好友晨熙，很高兴与您在超能世界上相遇！我听说您在游戏中遇到了一些困难，我可以帮您解决。请您先将您的账号挂到贴华阁网站上，我将为您充值并帮助您解锁账户。请您尽快完成操作，谢谢！,7
你好！我是你的新朋友。听说你要卖游戏账号，我非常感兴趣。请问你的账号是多少？我可以付你现金。,7
你好！我是神仙代售娜娜，我收到了你的天龙八部游戏账号交易申请。为了确保交易安全，请你扫描下方的二维码，进行1800元的保险费用支付。支付后，我们将在12小时内将19800元转到你的支付宝账户上。请注意，交易过程中不要泄露任何账号信息。谢谢合作！,7
""你好，很高兴与你交易！我想购买你的游戏账号。请添加我的QQ号码，我们可以通过游戏聊天进行交易。交易完成后，我会将款项转入你的账户。谢谢！""",7
尊敬的客户，您好！我们是交易猫APP客服团队。我们看到您挂了王者荣耀账号出售，我们很感兴趣。请问您愿意以何价格出售？我们可以提供更高的价格。请回复您的意愿，我们会尽快与您联系。谢谢！,7
你好！我是转转平台客服。我们需要缴纳过户费来完成账号的过户。请将312元转入指定账户即可。订单号为XXXXXXX。谢谢合作！,7
你好！我是懒猫8RPFJ，我在手机交易猫上卖了一个和平精英账号，但是平台的手续费太高了。我想让你帮我从平台撤销退款来取消订单。你可以通过微信和我联系，我会告诉你具体的操作步骤。请快点回复我。,7
尊敬的王先生，您好！很高兴与您联系。我们是库勤号交易平台的客服团队。我们收到了您的游戏账号上架请求，并且有客户对其感兴趣。我们会尽快与客户联系并完成交易。请您耐心等待。祝您交易顺利！,7
您好！我们是瞩目APP客服。您在交易猫平台购买游戏账号时遇到问题，我们可以帮您解决。请下载瞩目APP并与我们进行会议，我们将尽力协助您。,7
您好！我们蒿若拍游戏激活码交易平台客服。您好久没登录账号了，我们发现您的账户异常被冻结。为了解冻账户，您需要缴纳解冻金。请尽快联系我们客服，我们会为您提供详细操作步骤。谢谢！,7
你好！我是游戏平台的客服。我们收到消息说你想购买游戏币。请问你想购买多少游戏币？我们的游戏币价格是每个500元。请告诉我你的支付宝账号，我将帮你购买。谢谢！,7
